,data.1,engorgement,stage,host,species,depth,host.temp
19441,1.06,0.212,adult female,Bird,Gulf Coast,61.5,101.0555556
19442,1.06,0.212,adult female,Bird,Gulf Coast,61.7,101.0777778
19443,1.06,0.212,adult female,Bird,Gulf Coast,61.3,101.0333333
19444,1.06,0.212,adult female,Bird,Gulf Coast,61.7,101.0777778
19445,1.34,0.268,adult female,Fox,Groundhog,62.1,101.1222222
19446,1.53,0.306,nymph,Bird,Western Blacklegged,61.1,101.0111111
19447,1.53,0.306,larvae,Cat,Rocky Mountain Wood,63.1,101.2333333
19448,1.02,0.204,adult female,Dog,Gulf Coast,60.1,100.9
19449,1.51,0.302,larvae,Cat,Rocky Mountain Wood,63.7,101.3
19450,1.21,0.242,adult female,Bird,Groundhog,59.8,100.8666667
19451,1.04,0.208,adult male,Bird,Brown Dog,61.8,101.0888889
19452,1.25,0.25,adult male,Fox,Gulf Coast,61.3,101.0333333
19453,1.25,0.25,adult male,Fox,Gulf Coast,62,101.1111111
19454,1.21,0.242,larvae,Bird,Groundhog,63.8,101.3111111
19455,1.05,0.21,adult female,Racoon,Gulf Coast,62.3,101.1444444
19456,1.01,0.202,nymph,Squirrel,Gulf Coast,63.1,101.2333333
19457,1.42,0.284,adult male,Fox,Rocky Mountain Wood,62.3,101.1444444
19458,1.01,0.202,adult female,Bird,Brown Dog,62.2,101.1333333
19459,2.01,0.402,nymph,Fox,Lone Star,61.7,101.0777778
19460,2.01,0.402,larvae,Deer,Rocky Mountain Wood,64.3,101.3666667
19461,1.31,0.262,adult male,Fox,Groundhog,61,101
19462,1.02,0.204,adult female,Bird,Brown Dog,59.2,100.8
19463,1.56,0.312,larvae,Deer,Groundhog,62.3,101.1444444
19464,1.16,0.232,adult male,Bird,Gulf Coast,61.9,101.1
19465,1.5,0.3,adult male,Squirrel,Western Blacklegged,62.6,101.1777778
19466,1.5,0.3,larvae,Squirrel,Western Blacklegged,63.4,101.2666667
19467,1.77,0.354,larvae,Deer,Western Blacklegged,63.4,101.2666667
19468,1.19,0.238,adult male,Bird,Gulf Coast,62.6,101.1777778
19469,1.34,0.268,larvae,Fox,Groundhog,59.1,100.7888889
19470,1.52,0.304,adult male,Deer,Gulf Coast,62,101.1111111
19471,1.52,0.304,adult male,Deer,Gulf Coast,62.4,101.1555556
19472,1.26,0.252,adult female,Fox,Rocky Mountain Wood,61.6,101.0666667
19473,1.26,0.252,adult female,Fox,Rocky Mountain Wood,61.9,101.1
19474,1.11,0.222,adult female,Bird,Gulf Coast,61.4,101.0444444
19475,1.5,0.3,larvae,Fox,Rocky Mountain Wood,64.9,101.4333333
19476,1.26,0.252,adult male,Bird,Groundhog,60.1,100.9
19477,1.15,0.23,adult female,Squirrel,Groundhog,58.5,100.7222222
19478,1.05,0.21,adult male,Racoon,Gulf Coast,62.3,101.1444444
19479,1,0.2,nymph,Bird,American Dog,63.4,101.2666667
19480,1.7,0.34,larvae,Fox,Western Blacklegged,63.6,101.2888889
19481,1.47,0.294,adult male,Racoon,Western Blacklegged,59.4,100.8222222
19482,1.67,0.334,adult male,Fox,Western Blacklegged,62.6,101.1777778
19483,1.01,0.202,adult female,Squirrel,Groundhog,62.1,101.1222222
19484,1.04,0.208,adult female,Bird,American Dog,62.5,101.1666667
19485,1.07,0.214,adult female,Bird,Brown Dog,62.8,101.2
19486,1.01,0.202,adult male,Bird,Blacklegged,60,100.8888889
19487,1.01,0.202,adult male,Bird,Blacklegged,63,101.2222222
19488,1.14,0.228,adult female,Bird,Gulf Coast,61.8,101.0888889
19489,1.2,0.24,nymph,Bird,Groundhog,62.2,101.1333333
19490,1.3,0.26,adult female,Fox,Groundhog,62.8,101.2
19491,1,0.2,adult male,Squirrel,Gulf Coast,59.7,100.8555556
19492,1.52,0.304,adult male,Fox,Western Blacklegged,58.7,100.7444444
19493,1.5,0.3,nymph,Cat,Rocky Mountain Wood,60.3,100.9222222
19494,1.23,0.246,adult male,Bird,Groundhog,61.1,101.0111111
19495,1.11,0.222,adult female,Bird,Gulf Coast,62.8,101.2
19496,1.14,0.228,nymph,Racoon,Groundhog,59,100.7777778
19497,1.52,0.304,adult female,Deer,Rocky Mountain Wood,61.9,101.1
19498,1.21,0.242,adult female,Fox,Brown Dog,61.3,101.0333333
19499,1.23,0.246,adult female,Bird,Groundhog,61.5,101.0555556
19500,1.03,0.206,adult female,Racoon,Gulf Coast,62.3,101.1444444
19501,1.01,0.202,adult female,Racoon,Gulf Coast,62.1,101.1222222
19502,1.4,0.28,adult male,Fox,Rocky Mountain Wood,62.1,101.1222222
19503,1.57,0.314,eggs,Fox,Gulf Coast,67.3,101.7
19504,1.7,0.34,larvae,Deer,Groundhog,63.6,101.2888889
19505,1.51,0.302,adult male,Dog,Western Blacklegged,59.3,100.8111111
19506,1,0.2,nymph,Bird,Brown Dog,63,101.2222222
19507,1,0.2,nymph,Squirrel,Groundhog,62.4,101.1555556
19508,1.6,0.32,adult female,Deer,Rocky Mountain Wood,62.2,101.1333333
19509,1.28,0.256,adult male,Bird,Groundhog,62.1,101.1222222
19510,1.21,0.242,adult male,Racoon,Groundhog,61.3,101.0333333
19511,1.5,0.3,larvae,Bird,Western Blacklegged,57.9,100.6555556
19512,1.23,0.246,adult male,Bird,Gulf Coast,59.6,100.8444444
19513,1.07,0.214,adult female,Bird,Brown Dog,62.3,101.1444444
19514,1.7,0.34,larvae,Deer,Groundhog,64,101.3333333
19515,1.5,0.3,adult male,Fox,Western Blacklegged,60.8,100.9777778
19516,1.5,0.3,nymph,Bird,Western Blacklegged,61.3,101.0333333
19517,1.09,0.218,adult female,Bird,Brown Dog,62,101.1111111
19518,1.06,0.212,adult male,Bird,Brown Dog,59.6,100.8444444
19519,1.2,0.24,nymph,Bird,Gulf Coast,62.5,101.1666667
19520,1.52,0.304,nymph,Bird,Western Blacklegged,60.9,100.9888889
19521,1,0.2,adult male,Racoon,American Dog,63,101.2222222
19522,1,0.2,adult male,Bird,American Dog,62.1,101.1222222
19523,1.13,0.226,adult female,Racoon,Groundhog,60.1,100.9
19524,1.02,0.204,adult female,Racoon,Gulf Coast,61,101
19525,1.02,0.204,adult female,Racoon,Gulf Coast,62.6,101.1777778
19526,1.09,0.218,adult female,Dog,Groundhog,60.6,100.9555556
19527,1.5,0.3,larvae,Cat,Rocky Mountain Wood,62.9,101.2111111
19528,1.02,0.204,adult female,Bird,Blacklegged,62.5,101.1666667
19529,1.33,0.266,nymph,Racoon,Rocky Mountain Wood,63.3,101.2555556
19530,1.01,0.202,adult male,Bird,Brown Dog,61.2,101.0222222
19531,1.3,0.26,adult male,Racoon,Rocky Mountain Wood,61.4,101.0444444
19532,1.5,0.3,larvae,Fox,Groundhog,64.3,101.3666667
19533,1.5,0.3,larvae,Fox,Groundhog,63.9,101.3222222
19534,1.5,0.3,nymph,Dog,Western Blacklegged,62.7,101.1888889
19535,1.22,0.244,adult female,Fox,Gulf Coast,62.6,101.1777778
19536,1.02,0.204,adult female,Bird,American Dog,61.5,101.0555556
19537,1.03,0.206,adult female,Racoon,Gulf Coast,62.1,101.1222222
19538,1.06,0.212,adult male,Bird,American Dog,61.1,101.0111111
19539,1.51,0.302,adult female,Deer,Gulf Coast,61.9,101.1
19540,1,0.2,nymph,Racoon,Brown Dog,63.2,101.2444444
19541,1.42,0.284,adult female,Cat,Groundhog,60.4,100.9333333
19542,1.55,0.31,nymph,Fox,Western Blacklegged,62.5,101.1666667
19543,1.59,0.318,adult female,Deer,Rocky Mountain Wood,62.4,101.1555556
19544,1,0.2,adult male,Dog,Gulf Coast,59.1,100.7888889
19545,1.54,0.308,adult male,Bird,Rocky Mountain Wood,63,101.2222222
19546,1.2,0.24,adult male,Bird,Gulf Coast,58.4,100.7111111
19547,1.5,0.3,larvae,Racoon,Western Blacklegged,59.7,100.8555556
19548,1.02,0.204,adult male,Squirrel,Gulf Coast,60.3,100.9222222
19549,1.02,0.204,adult male,Squirrel,Gulf Coast,61.3,101.0333333
19550,1.02,0.204,adult female,Squirrel,Gulf Coast,60.5,100.9444444
19551,1.62,0.324,adult male,Deer,Rocky Mountain Wood,62,101.1111111
19552,1.6,0.32,adult male,Fox,Western Blacklegged,59.4,100.8222222
19553,1.5,0.3,nymph,Fox,Western Blacklegged,62.5,101.1666667
19554,1.11,0.222,nymph,Bird,Rocky Mountain Wood,60.7,100.9666667
19555,1.16,0.232,adult female,Squirrel,Groundhog,62.1,101.1222222
19556,1.12,0.224,adult female,Bird,Groundhog,60.9,100.9888889
19557,1.5,0.3,adult male,Dog,Western Blacklegged,61.7,101.0777778
19558,1.5,0.3,adult male,Dog,Western Blacklegged,58,100.6666667
19559,1.5,0.3,adult male,Cat,Rocky Mountain Wood,58.6,100.7333333
19560,1.5,0.3,adult male,Bird,Western Blacklegged,62,101.1111111
19561,1.5,0.3,eggs,Dog,Western Blacklegged,59.9,100.8777778
19562,1.5,0.3,larvae,Bird,Western Blacklegged,64.3,101.3666667
19563,1.04,0.208,nymph,Squirrel,Gulf Coast,62.3,101.1444444
19564,1.52,0.304,nymph,Racoon,Western Blacklegged,62.3,101.1444444
19565,1.13,0.226,adult female,Bird,Brown Dog,60.7,100.9666667
19566,1.51,0.302,adult female,Cat,Rocky Mountain Wood,62.7,101.1888889
19567,1.52,0.304,nymph,Fox,Western Blacklegged,62.7,101.1888889
19568,1.48,0.296,nymph,Cat,Groundhog,63,101.2222222
19569,1.21,0.242,adult male,Racoon,Gulf Coast,61.6,101.0666667
19570,1.01,0.202,adult male,Squirrel,Gulf Coast,61.8,101.0888889
19571,1.52,0.304,adult male,Deer,Brown Dog,58.3,100.7
19572,1.07,0.214,adult female,Squirrel,Groundhog,62.5,101.1666667
19573,1.12,0.224,adult female,Bird,Gulf Coast,61.5,101.0555556
19574,1.51,0.302,adult female,Deer,Groundhog,61.5,101.0555556
19575,1.09,0.218,adult male,Racoon,Gulf Coast,60.9,100.9888889
19576,1.51,0.302,adult male,Deer,Gulf Coast,61.4,101.0444444
19577,1.53,0.306,adult male,Deer,Gulf Coast,62.8,101.2
19578,1.53,0.306,adult male,Deer,Gulf Coast,60.1,100.9
19579,1.54,0.308,adult female,Deer,Gulf Coast,62,101.1111111
19580,1.51,0.302,larvae,Cat,Gulf Coast,65.8,101.5333333
19581,1.01,0.202,nymph,Racoon,Brown Dog,59.8,100.8666667
19582,1.07,0.214,adult female,Bird,Brown Dog,62.8,101.2
19583,1.41,0.282,larvae,Racoon,Rocky Mountain Wood,63.7,101.3
19584,1.22,0.244,adult female,Bird,Groundhog,61.4,101.0444444
19585,1.22,0.244,adult male,Bird,Groundhog,61.8,101.0888889
19586,1.51,0.302,nymph,Cat,Rocky Mountain Wood,63.5,101.2777778
19587,1.51,0.302,nymph,Cat,Rocky Mountain Wood,62.8,101.2
19588,1,0.2,nymph,Racoon,Brown Dog,61.4,101.0444444
19589,1.52,0.304,adult male,Deer,Gulf Coast,61.2,101.0222222
19590,1.4,0.28,eggs,Racoon,Groundhog,66.5,101.6111111
19591,1.52,0.304,nymph,Deer,Gulf Coast,62.2,101.1333333
19592,1,0.2,adult female,Bird,American Dog,61.9,101.1
19593,1.51,0.302,adult female,Deer,Groundhog,62,101.1111111
19594,1.06,0.212,nymph,Dog,Gulf Coast,59.6,100.8444444
19595,1.12,0.224,adult male,Bird,American Dog,58.9,100.7666667
19596,1.51,0.302,nymph,Fox,Groundhog,63.1,101.2333333
19597,1.73,0.346,larvae,Dog,Lone Star,63.6,101.2888889
19598,1.62,0.324,adult female,Cat,Western Blacklegged,62.2,101.1333333
19599,2.33,0.466,adult male,Fox,Lone Star,60.7,100.9666667
19600,1.57,0.314,adult female,Deer,Rocky Mountain Wood,62.4,101.1555556
19601,1.51,0.302,nymph,Cat,Groundhog,63.1,101.2333333
19602,1.4,0.28,adult male,Fox,Rocky Mountain Wood,62.4,101.1555556
19603,1.4,0.28,adult male,Fox,Rocky Mountain Wood,62.2,101.1333333
19604,1.5,0.3,adult female,Fox,Brown Dog,61.3,101.0333333
19605,1.04,0.208,nymph,Bird,Blacklegged,61.7,101.0777778
19606,1.02,0.204,adult female,Dog,Groundhog,61,101
19607,1.25,0.25,adult female,Bird,Rocky Mountain Wood,60.7,100.9666667
19608,1,0.2,nymph,Racoon,Brown Dog,61.1,101.0111111
19609,1.31,0.262,adult female,Racoon,Rocky Mountain Wood,62.4,101.1555556
19610,1.59,0.318,adult female,Deer,Brown Dog,60.3,100.9222222
19611,1.57,0.314,adult female,Cat,Western Blacklegged,62.6,101.1777778
19612,1.32,0.264,adult female,Bird,Rocky Mountain Wood,62.1,101.1222222
19613,1.2,0.24,nymph,Racoon,Groundhog,61.1,101.0111111
19614,1.5,0.3,adult male,Racoon,Western Blacklegged,63,101.2222222
19615,1.11,0.222,nymph,Racoon,Gulf Coast,62.1,101.1222222
19616,1.11,0.222,adult female,Racoon,Groundhog,60.9,100.9888889
19617,1.23,0.246,adult female,Bird,Groundhog,62.4,101.1555556
19618,1.27,0.254,nymph,Fox,Gulf Coast,60.7,100.9666667
19619,1.07,0.214,adult female,Bird,Brown Dog,62.4,101.1555556
19620,1.03,0.206,adult female,Racoon,Gulf Coast,62.8,101.2
19621,1.26,0.252,adult female,Fox,Gulf Coast,60.9,100.9888889
19622,1,0.2,adult female,Bird,Brown Dog,61.2,101.0222222
19623,0.9,0.18,larvae,Squirrel,American Dog,62.9,101.2111111
19624,1.53,0.306,nymph,Cat,Rocky Mountain Wood,63.1,101.2333333
19625,1.51,0.302,larvae,Cat,Rocky Mountain Wood,62.5,101.1666667
19626,1.51,0.302,larvae,Fox,Western Blacklegged,61,101
19627,1.02,0.204,adult female,Dog,Gulf Coast,60.1,100.9
19628,1.51,0.302,larvae,Cat,Rocky Mountain Wood,63.7,101.3
19629,1.51,0.302,larvae,Racoon,Western Blacklegged,63.8,101.3111111
19630,1,0.2,nymph,Bird,American Dog,62.3,101.1444444
19631,1.03,0.206,adult female,Bird,American Dog,62,101.1111111
19632,1.12,0.224,adult female,Racoon,Groundhog,62.1,101.1222222
19633,1.01,0.202,adult female,Bird,Brown Dog,62.2,101.1333333
19634,1.13,0.226,adult female,Dog,Groundhog,62,101.1111111
19635,1.54,0.308,adult female,Cat,Western Blacklegged,62,101.1111111
19636,1.5,0.3,larvae,Cat,Rocky Mountain Wood,61.1,101.0111111
19637,1.17,0.234,adult male,Racoon,Groundhog,60.2,100.9111111
19638,1.26,0.252,adult female,Squirrel,Groundhog,62.5,101.1666667
19639,1.27,0.254,adult female,Squirrel,Rocky Mountain Wood,62.1,101.1222222
19640,1.3,0.26,adult male,Racoon,Rocky Mountain Wood,61.1,101.0111111
19641,1.35,0.27,nymph,Bird,Gulf Coast,63.4,101.2666667
19642,2.04,0.408,nymph,Cat,Lone Star,59.3,100.8111111
19643,1.24,0.248,adult female,Fox,Groundhog,60.8,100.9777778
19644,1.77,0.354,nymph,Deer,Western Blacklegged,63.4,101.2666667
19645,1.5,0.3,larvae,Cat,Rocky Mountain Wood,63.1,101.2333333
19646,1.54,0.308,adult male,Cat,Rocky Mountain Wood,60.9,100.9888889
19647,1.52,0.304,adult male,Deer,Gulf Coast,62.4,101.1555556
19648,1.52,0.304,adult male,Deer,Gulf Coast,62,101.1111111
19649,1.51,0.302,eggs,Fox,Rocky Mountain Wood,65.8,101.5333333
19650,1.31,0.262,nymph,Fox,Groundhog,60.4,100.9333333
19651,1.31,0.262,adult female,Fox,Groundhog,61.8,101.0888889
19652,1.7,0.34,adult male,Fox,Western Blacklegged,59.8,100.8666667
19653,1.72,0.344,eggs,Squirrel,Western Blacklegged,64.6,101.4
19654,1.01,0.202,nymph,Racoon,Brown Dog,63,101.2222222
19655,1.19,0.238,adult female,Racoon,Groundhog,62,101.1111111
19656,1.01,0.202,adult male,Squirrel,Gulf Coast,62.4,101.1555556
19657,1.2,0.24,adult male,Racoon,Groundhog,62.8,101.2
19658,1.17,0.234,adult female,Fox,Blacklegged,61,101
19659,1.4,0.28,nymph,Squirrel,Western Blacklegged,61.8,101.0888889
19660,1.04,0.208,adult female,Bird,American Dog,62.5,101.1666667
19661,1.53,0.306,nymph,Dog,Western Blacklegged,59.3,100.8111111
19662,1.39,0.278,adult female,Cat,Brown Dog,61.6,101.0666667
19663,1.51,0.302,larvae,Deer,Gulf Coast,61.5,101.0555556
19664,1.54,0.308,adult female,Deer,Groundhog,61.9,101.1
19665,1.41,0.282,adult female,Deer,Gulf Coast,61.6,101.0666667
19666,1.2,0.24,adult female,Fox,Gulf Coast,61.6,101.0666667
19667,1.5,0.3,larvae,Deer,Brown Dog,63.3,101.2555556
19668,1.12,0.224,adult female,Squirrel,Groundhog,62,101.1111111
19669,1.01,0.202,adult female,Squirrel,Groundhog,62.6,101.1777778
19670,1.2,0.24,adult male,Dog,Groundhog,62,101.1111111
19671,1.1,0.22,adult female,Racoon,Gulf Coast,61.7,101.0777778
19672,1.52,0.304,larvae,Bird,Western Blacklegged,63,101.2222222
19673,1.25,0.25,adult male,Bird,American Dog,58.2,100.6888889
19674,1.09,0.218,adult female,Bird,Brown Dog,62.5,101.1666667
19675,1.7,0.34,larvae,Deer,Groundhog,63.6,101.2888889
19676,1.51,0.302,adult female,Bird,Rocky Mountain Wood,61.6,101.0666667
19677,1.51,0.302,adult female,Bird,Rocky Mountain Wood,61.6,101.0666667
19678,1.41,0.282,nymph,Fox,Rocky Mountain Wood,62.6,101.1777778
19679,1.03,0.206,adult female,Dog,Gulf Coast,61.7,101.0777778
19680,1.06,0.212,adult female,Bird,Gulf Coast,61.1,101.0111111
19681,0.4,0.08,adult female,Squirrel,Western Blacklegged,61.3,101.0333333
19682,0.4,0.08,nymph,Dog,Western Blacklegged,58.7,100.7444444
19683,0.33,0.066,nymph,Bird,Groundhog,61.5,101.0555556
19684,0.27,0.054,adult female,Fox,Brown Dog,62.1,101.1222222
19685,0.27,0.054,adult male,Fox,Brown Dog,60.7,100.9666667
19686,0.32,0.064,nymph,Fox,Gulf Coast,58.9,100.7666667
19687,0.32,0.064,nymph,Racoon,Groundhog,61.5,101.0555556
19688,0.3,0.06,adult female,Bird,Gulf Coast,61.8,101.0888889
19689,0.3,0.06,adult female,Bird,Gulf Coast,63.1,101.2333333
19690,0.3,0.06,adult female,Bird,Gulf Coast,62,101.1111111
19691,0.3,0.06,adult female,Bird,Gulf Coast,62.2,101.1333333
19692,0.3,0.06,adult female,Bird,Gulf Coast,60.9,100.9888889
19693,0.3,0.06,adult female,Bird,Gulf Coast,61.8,101.0888889
19694,0.3,0.06,adult female,Bird,Gulf Coast,62.4,101.1555556
19695,0.3,0.06,adult female,Bird,Gulf Coast,60.6,100.9555556
19696,0.4,0.08,adult female,Cat,Rocky Mountain Wood,62.3,101.1444444
19697,0.25,0.05,adult female,Bird,Blacklegged,61.7,101.0777778
19698,0.36,0.072,nymph,Cat,Rocky Mountain Wood,63.1,101.2333333
19699,0.36,0.072,adult male,Cat,Rocky Mountain Wood,60.4,100.9333333
19700,0.37,0.074,adult female,Deer,Gulf Coast,62.6,101.1777778
19701,0.37,0.074,adult female,Deer,Gulf Coast,62.4,101.1555556
19702,0.37,0.074,nymph,Bird,Western Blacklegged,63.4,101.2666667
19703,0.37,0.074,nymph,Bird,Western Blacklegged,63.3,101.2555556
19704,0.37,0.074,adult male,Racoon,Western Blacklegged,60.2,100.9111111
19705,0.37,0.074,adult male,Racoon,Western Blacklegged,60.7,100.9666667
19706,0.33,0.066,adult male,Fox,Groundhog,58.8,100.7555556
19707,0.32,0.064,adult male,Dog,Rocky Mountain Wood,62,101.1111111
19708,0.28,0.056,larvae,Dog,Groundhog,63.7,101.3
19709,0.42,0.084,nymph,Squirrel,Western Blacklegged,58.6,100.7333333
19710,0.41,0.082,adult female,Cat,Groundhog,61.4,101.0444444
19711,1.21,0.242,adult female,Fox,American Dog,62.8,101.2
19712,1.01,0.202,adult male,Squirrel,Gulf Coast,60,100.8888889
19713,1.51,0.302,eggs,Racoon,Western Blacklegged,61.8,101.0888889
19714,1.51,0.302,eggs,Cat,Groundhog,64.6,101.4
19715,1.51,0.302,adult female,Fox,Rocky Mountain Wood,61.9,101.1
19716,1.61,0.322,nymph,Dog,Western Blacklegged,61.9,101.1
19717,1.53,0.306,adult female,Fox,Rocky Mountain Wood,61.9,101.1
19718,1.5,0.3,nymph,Dog,Western Blacklegged,62.2,101.1333333
19719,1.5,0.3,nymph,Cat,Rocky Mountain Wood,63.1,101.2333333
19720,1.5,0.3,adult female,Cat,Rocky Mountain Wood,62.7,101.1888889
19721,1.23,0.246,adult male,Bird,Gulf Coast,59.6,100.8444444
19722,1.21,0.242,adult male,Bird,Groundhog,60.3,100.9222222
19723,1.21,0.242,adult male,Fox,Blacklegged,62.2,101.1333333
19724,1.21,0.242,adult female,Bird,Groundhog,61.5,101.0555556
19725,1.09,0.218,adult female,Bird,Brown Dog,61.2,101.0222222
19726,1.09,0.218,adult female,Bird,Gulf Coast,60.4,100.9333333
19727,1.24,0.248,nymph,Bird,Gulf Coast,62,101.1111111
19728,1.51,0.302,adult female,Deer,Gulf Coast,61.3,101.0333333
19729,1.24,0.248,adult female,Racoon,Groundhog,62.2,101.1333333
19730,1.52,0.304,adult male,Cat,Rocky Mountain Wood,61.2,101.0222222
19731,1.52,0.304,adult female,Dog,Western Blacklegged,61,101
19732,1.24,0.248,adult female,Fox,Gulf Coast,61.6,101.0666667
19733,1.24,0.248,adult female,Fox,Gulf Coast,62.1,101.1222222
19734,1.52,0.304,adult male,Bird,Western Blacklegged,60.9,100.9888889
19735,1.54,0.308,nymph,Fox,Western Blacklegged,62.3,101.1444444
19736,1.55,0.31,adult female,Deer,Rocky Mountain Wood,62.4,101.1555556
19737,1.02,0.204,adult female,Dog,Gulf Coast,62.2,101.1333333
19738,1.21,0.242,adult male,Bird,Gulf Coast,59.5,100.8333333
19739,1.09,0.218,adult female,Bird,Gulf Coast,60.3,100.9222222
19740,1.02,0.204,adult female,Bird,Blacklegged,62.5,101.1666667
19741,1.51,0.302,adult male,Squirrel,Western Blacklegged,61.4,101.0444444
19742,1.27,0.254,nymph,Squirrel,Rocky Mountain Wood,62.5,101.1666667
19743,1.51,0.302,larvae,Cat,Rocky Mountain Wood,63.7,101.3
19744,1.22,0.244,adult female,Bird,Gulf Coast,61.3,101.0333333
19745,1.47,0.294,adult male,Racoon,Western Blacklegged,61.6,101.0666667
19746,1.14,0.228,nymph,Dog,Gulf Coast,63.1,101.2333333
19747,1.5,0.3,larvae,Cat,Groundhog,61.9,101.1
19748,1.5,0.3,adult male,Bird,Western Blacklegged,60.7,100.9666667
19749,1.5,0.3,adult male,Dog,Western Blacklegged,62.7,101.1888889
19750,1.02,0.204,nymph,Dog,Gulf Coast,62.9,101.2111111
19751,1.56,0.312,nymph,Fox,Western Blacklegged,59.9,100.8777778
19752,1.02,0.204,adult female,Bird,American Dog,61.5,101.0555556
19753,1.01,0.202,adult male,Racoon,Brown Dog,61.8,101.0888889
19754,1.06,0.212,adult male,Bird,American Dog,61.1,101.0111111
19755,1.2,0.24,adult female,Bird,Groundhog,59.9,100.8777778
19756,1.08,0.216,adult female,Racoon,Gulf Coast,62.1,101.1222222
19757,1.72,0.344,adult male,Deer,Rocky Mountain Wood,61.7,101.0777778
19758,1.56,0.312,adult male,Deer,Gulf Coast,61.1,101.0111111
19759,1.59,0.318,adult female,Deer,Rocky Mountain Wood,62.4,101.1555556
19760,1.11,0.222,adult male,Dog,Gulf Coast,61.2,101.0222222
19761,1.01,0.202,nymph,Racoon,Groundhog,62,101.1111111
19762,1.6,0.32,adult male,Fox,Western Blacklegged,59.4,100.8222222
19763,1.5,0.3,adult male,Fox,Western Blacklegged,62.5,101.1666667
19764,1,0.2,adult male,Squirrel,Gulf Coast,61.9,101.1
19765,1,0.2,adult male,Squirrel,Gulf Coast,62.2,101.1333333
19766,1.2,0.24,nymph,Racoon,Groundhog,62.6,101.1777778
19767,1.2,0.24,adult female,Racoon,Groundhog,62.3,101.1444444
19768,1.65,0.33,adult female,Deer,Rocky Mountain Wood,62.5,101.1666667
19769,1.01,0.202,larvae,Squirrel,Gulf Coast,64.1,101.3444444
19770,1.22,0.244,nymph,Bird,Groundhog,62.3,101.1444444
19771,1.04,0.208,adult male,Squirrel,Gulf Coast,62.3,101.1444444
19772,1.04,0.208,adult female,Squirrel,Gulf Coast,59.1,100.7888889
19773,1.51,0.302,adult female,Cat,Rocky Mountain Wood,61.1,101.0111111
19774,1.52,0.304,adult male,Racoon,Western Blacklegged,62.3,101.1444444
19775,1.06,0.212,adult female,Racoon,Gulf Coast,61.7,101.0777778
19776,1.14,0.228,adult female,Bird,Gulf Coast,61.4,101.0444444
19777,1.16,0.232,adult male,Dog,Gulf Coast,58.7,100.7444444
19778,1.02,0.204,adult female,Squirrel,Gulf Coast,62.6,101.1777778
19779,1.08,0.216,adult female,Bird,American Dog,61.6,101.0666667
19780,1.5,0.3,larvae,Deer,Gulf Coast,60.7,100.9666667
19781,1.01,0.202,nymph,Dog,Gulf Coast,59.4,100.8222222
19782,1.21,0.242,adult female,Dog,Gulf Coast,62.2,101.1333333
19783,1.21,0.242,adult female,Racoon,Groundhog,61.5,101.0555556
19784,1.15,0.23,nymph,Bird,Brown Dog,58.4,100.7111111
19785,1.13,0.226,adult male,Dog,Gulf Coast,61.1,101.0111111
19786,1.51,0.302,eggs,Cat,Rocky Mountain Wood,68.3,101.8111111
19787,1.64,0.328,nymph,Racoon,Western Blacklegged,63.2,101.2444444
19788,1.13,0.226,nymph,Dog,Groundhog,61.9,101.1
19789,1.06,0.212,adult female,Bird,Brown Dog,61.7,101.0777778
19790,1,0.2,larvae,Dog,American Dog,63.4,101.2666667
19791,1.07,0.214,adult male,Squirrel,Gulf Coast,62,101.1111111
19792,1.16,0.232,nymph,Bird,Brown Dog,62.3,101.1444444
19793,1.81,0.362,eggs,Deer,Rocky Mountain Wood,56.2,100.4666667
19794,1.22,0.244,adult male,Bird,Groundhog,61.8,101.0888889
19795,1.22,0.244,adult female,Bird,Groundhog,61.4,101.0444444
19796,1.57,0.314,adult female,Deer,Groundhog,62.3,101.1444444
19797,1.74,0.348,adult male,Deer,Groundhog,61.9,101.1
19798,1.09,0.218,adult female,Bird,Brown Dog,60.6,100.9555556
19799,1.25,0.25,adult female,Fox,Gulf Coast,62.1,101.1222222
19800,1.53,0.306,adult male,Fox,Rocky Mountain Wood,62.4,101.1555556
19801,1.71,0.342,adult male,Cat,Western Blacklegged,59,100.7777778
19802,1.52,0.304,adult male,Deer,Gulf Coast,61.2,101.0222222
19803,1,0.2,adult female,Bird,American Dog,61.9,101.1
19804,1.52,0.304,adult male,Squirrel,Western Blacklegged,58.6,100.7333333
19805,1.73,0.346,larvae,Dog,Lone Star,63.6,101.2888889
19806,1.51,0.302,adult male,Deer,Gulf Coast,62.1,101.1222222
19807,1.5,0.3,adult female,Cat,Rocky Mountain Wood,62.3,101.1444444
19808,1.51,0.302,nymph,Fox,Western Blacklegged,60.8,100.9777778
19809,1.01,0.202,nymph,Bird,American Dog,61.8,101.0888889
19810,1,0.2,larvae,Squirrel,Brown Dog,60.2,100.9111111
19811,1.03,0.206,nymph,Racoon,Brown Dog,61.3,101.0333333
19812,1.22,0.244,nymph,Bird,Groundhog,62.7,101.1888889
19813,1.6,0.32,adult female,Cat,Western Blacklegged,61.9,101.1
19814,1.6,0.32,nymph,Racoon,Western Blacklegged,60.5,100.9444444
19815,1.2,0.24,larvae,Dog,Groundhog,63.6,101.2888889
19816,1.23,0.246,adult male,Bird,Gulf Coast,62.8,101.2
19817,1.23,0.246,adult male,Bird,Gulf Coast,61.8,101.0888889
19818,1.75,0.35,larvae,Fox,Western Blacklegged,64.1,101.3444444
19819,1.03,0.206,adult female,Bird,Brown Dog,60.7,100.9666667
